Noise	Error
0.01	0.4257914154193415
0.01	0.014239565980703403
0.01	0.014402100583455533
0.01	0.4257904975959604
0.01	0.01439943846898645
0.01	0.425791286078603
0.01	0.014398151906713057
0.01	0.014400274560852562
0.01	0.4257903566267437
0.01	0.42579130178655794
0.01	0.42579163346318555
0.01	0.014240440524754391
0.01	0.4257913964623534
0.01	0.014400874812847013
0.01	0.014401793671205759
0.01	0.014247944684491426
0.01	0.014401855108625036
0.01	0.014242897346532083
0.01	0.01427534518311359
0.01	0.01425187698001519
0.01	0.014246626409124932
0.01	0.42579002093543683
0.01	0.4257909008300626
0.01	0.014400072440060885
0.01	0.4257845275670484
0.01	0.014399866979884789
0.01	0.014399615335666109
0.01	0.42579090545921405
0.01	0.014399844160301278
0.01	0.014402507308062288
0.01	0.014402219072891253
0.01	0.014400782161720934
0.01	0.014402166097213582
0.01	0.014400523157063791
0.01	0.014401936762712043
0.01	0.01439985528095785
0.01	0.014400740330754079
0.01	0.014344522892538734
0.01	0.01439981559172662
0.01	0.014269504717593973
0.01	0.4257896417480219
0.01	0.01440167138605246
0.01	0.4257906082195815
0.01	0.014345225274142713
0.01	0.014400682860077884
0.01	0.4257907516901985
0.01	0.014399993850486568
0.01	0.014401652052070842
0.01	0.014401955912125517
0.01	0.014278237507913353
0.01	0.014238115185748417
0.01	0.42578708037108776
0.01	0.014401825914513167
0.01	0.014399959417956848
0.01	0.014248791395615882
0.01	0.014260323395802868
0.01	0.014400667612183898
0.01	0.014250438160508978
0.01	0.4257907738579681
0.01	0.01427536248735563
0.01	0.42579149996462357
0.01	0.4257904409568216
0.01	0.425791356807201
0.01	0.014400001646555112
0.01	0.014399818479351628
0.01	0.014246734588190259
0.01	0.014248167481519684
0.01	0.014402495135183416
0.01	0.014339206566415316
0.01	0.014253356370271917
0.01	0.4257903978716568
0.01	0.4257915795163939
0.01	0.014401941621578688
0.01	0.014252358650023049
0.01	0.014399802010510552
0.01	0.42579118046735936
0.01	0.014247376753524712
0.01	0.014265687363953004
0.01	0.014399480122433651
0.01	0.014244528019046337
0.01	0.014271562009177357
0.01	0.014401000439654194
0.01	0.42579141162591955
0.01	0.4257904709372449
0.01	0.014278672801608138
0.01	0.01439946116886528
0.01	0.014399908227789386
0.01	0.014399926568942885
0.01	0.01440084396267528
0.01	0.014246557940685392
0.01	0.4257644934574065
0.01	0.4257911454263516
0.01	0.014399797675263414
0.01	0.014242453566800338
0.01	0.014455584630452429
0.01	0.4257911947635625
0.01	0.014273518634794445
0.01	0.014248599144309402
0.01	0.014245286816119663
0.01	0.0143435004742577
0.02	0.4257912839839113
0.02	0.01439921390040941
0.02	0.014240718403600838
0.02	0.014268095008276136
0.02	0.014399697258802588
0.02	0.014456751748806227
0.02	0.014399808368344121
0.02	0.014399990711008198
0.02	0.42578659691075693
0.02	0.014399850975394134
0.02	0.01427980965024782
0.02	0.014343591972257336
0.02	0.014401037578833339
